SenderQueryID,SubscriberID,Sender,SentTime,Originator,OriginTime,Password,QueryType,QueryReason,CarnetNumber
FCS01,FCS,FCS,2004-05-19T13:14:50Z,FCS01,2004-05-19T13:54:50Z,,1,1,XW44062317
FCS02,FCS,FCS,2004-05-19T13:24:50Z,FCS01,2004-05-19T13:55:51Z,,2,1,XW44062317
FCS03,FCS,FCS,2004-05-19T13:24:50Z,FCS02,2004-05-19T13:54:50Z,ASDF,1,3,XW44062317
FCS04,FCS1,FCS,2004-05-19T13:24:50Z,FCS02,2004-05-19T13:55:51Z,,1,1,XW44062319
FCS05,FCS,FCS,2004-05-19T13:24:50Z,FCS02,2004-05-19T13:54:50Z,,1,1,XW44062317
FCS06,FCS,FCS,2004-05-19T13:24:50Z,FCS05,2004-05-19T13:55:51Z,,1,1,XW44062317
FCS07,FCS,FCS1,2004-05-19T13:24:50Z,FCS,2004-05-19T13:54:50Z,,1,1,XW44062317
FCS08,FCS,FCS,2004-05-19T13:54:50Z,FCS06,2004-05-19T13:55:51Z,,1,1,XW44062317
FCS09,FCS,FCS,2004-05-19T13:54:50Z,,2004-05-19T13:54:50Z,,1,1,XW44062317
FCS10,FCS,FCS,2004-05-19T13:54:50Z,FCS06,2004-05-19T13:55:51Z,,1,1,XW44062317
